,neighborhood,latitude,longitude,price,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,num_venues,venue_senti,num_stations
355,BUSINESS BAY,25.183515,55.26667,605000,513,1179.34,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,43,8.518604651162791,1
356,NADD HESSA,25.112525,55.376107,599000,885,676.84,1,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,34,7.458823529411765,0
357,BURJ KHALIFA,25.194282,55.271884,4681888,1720,2722.03,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
358,MARSA DUBAI,25.078122,55.134763,2500000,1817,1375.89,2,3,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,100,8.448,0
359,MARSA DUBAI,25.072375,55.136286,1800000,1281,1405.15,2,3,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
360,MARSA DUBAI,25.086376,55.14736,1890000,1255,1505.98,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
361,NAKHLAT JUMEIRA,25.112725,55.109525,1750000,1812,965.78,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
362,BURJ KHALIFA,25.202977,55.280662,1100000,730,1506.85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
363,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.109367,55.247980000000005,900000,989,910.01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.200000000000001,0
364,DUBAI INVESTMENT PARK FIRST,25.007528,55.16360400000001,1295000,2554,507.05,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7.221739130434782,2
365,MARSA DUBAI,25.081622,55.141977,1640000,1302,1259.6,2,3,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
366,JUMEIRA FIRST,25.240419,55.25277,1200000,733,1637.11,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,97,8.430927835051547,0
367,NADD HESSA,25.112525,55.376107,350000,535,654.21,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,34,7.458823529411765,0
368,MARSA DUBAI,25.07907,55.139742000000005,1150000,1210,950.41,2,4,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
369,AL BARSHA SOUTH FOURTH,25.063841,55.210235,589000,844,697.87,1,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,4,8.275,0
370,MARSA DUBAI,25.073778,55.132888,1670000,1366,1222.55,2,3,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,100,8.448,0
371,AL HEBIAH FIRST,25.045661,55.241586,1550000,2931,528.83,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7.958064516129032,0
372,BURJ KHALIFA,25.201718,55.270983,1650000,872,1892.2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
373,NAKHLAT JUMEIRA,25.125472,55.153066,2650000,1493,1774.95,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,99,8.488888888888889,0
374,NAKHLAT JUMEIRA,25.114513,55.136122,1930000,2046,943.3,2,3,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,99,8.488888888888889,0
375,AL BARSHA SOUTH FOURTH,25.066252,55.20792900000001,368000,385,955.84,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,4,8.275,0
376,BURJ KHALIFA,25.201204,55.270189,5500000,2285,2407.0,4,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.701,1
377,BURJ KHALIFA,25.198796,55.271342,3900000,1978,1971.69,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
378,MARSA DUBAI,25.069944,55.133324,1500000,1727,868.56,2,3,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.448,0
379,BURJ KHALIFA,25.195235,55.27875600000001,1650000,1104,1494.57,2,3,2,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.701,1
380,AL BARSHA SOUTH FOURTH,25.052714,55.199369,1150000,1607,715.62,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8.275,0
381,JUMEIRA FIRST,25.240419,55.25277,1890000,1023,1847.51,2,3,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,97,8.430927835051547,0
382,BURJ KHALIFA,25.196489,55.272126,15800000,5253,3007.81,4,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,100,8.701,1
383,BURJ KHALIFA,25.195237,55.271449,3000000,1317,2277.9,2,3,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,100,8.701,1
384,BURJ KHALIFA,25.195235,55.27875600000001,4000000,1908,2096.44,3,3,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,100,8.701,1
385,MARSA DUBAI,25.086575,55.147768000000006,1625000,875,1857.14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
386,BURJ KHALIFA,25.187556,55.275166000000006,2243000,1293,1734.73,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,100,8.701,1
387,AL THANYAH FIFTH,25.074521,55.143825,800000,1028,778.21,1,2,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,51,8.21764705882353,2
388,BURJ KHALIFA,25.202977,55.280662,2650000,1616,1639.85,3,4,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,100,8.701,1
389,BURJ KHALIFA,25.199782,55.277662,1239000,747,1658.63,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,100,8.701,1
390,BURJ KHALIFA,25.200879,55.276331000000006,4100000,1774,2311.16,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
391,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.111798,55.247341000000006,2600888,1583,1643.01,3,3,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.200000000000001,0
392,JUMEIRA FIRST,25.240419,55.25277,1200000,733,1637.11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,8.430927835051547,0
393,NAKHLAT JUMEIRA,25.104115,55.14847,3150000,1645,1914.89,2,2,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,99,8.488888888888889,0
394,MARSA DUBAI,25.081955,55.138863,1100000,1101,999.09,1,2,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,100,8.448,0
395,MARSA DUBAI,25.072954,55.128089,2499000,1463,1708.13,2,3,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,100,8.448,0
396,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.121564000000003,55.25912,1061888,730,1454.64,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.200000000000001,0
397,AL YALAYIS 2,24.999981,55.293818,930888,930,1000.95,2,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,8.25,0
398,AL YALAYIS 2,24.998576,55.291873,453888,339,1338.9,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,8.25,0
399,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.11576,55.248755,2040888,1607,1270.0,3,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.200000000000001,0
400,MARSA DUBAI,25.069266,55.129145,1100000,829,1326.9,2,2,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,100,8.448,0
401,WADI AL SAFA 3,25.171461,55.2758,1261142,742,1699.65,1,2,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,8.766666666666666,0
402,MARSA DUBAI,25.087251,55.145574,1170000,980,1193.88,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,100,8.448,0
403,NAKHLAT JUMEIRA,25.106964,55.111349,2499000,1367,1828.09,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
404,AL KIFAF,25.233787,55.294217,1642777,998,1646.07,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,8.466666666666667,1
405,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.107984,55.244923,1450000,1487,975.12,2,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8.200000000000001,0
406,WADI AL SAFA 3,25.171461,55.2758,1276686,760,1679.85,1,2,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,8.766666666666666,0
407,AL KIFAF,25.233787,55.294217,1550000,990,1565.66,1,2,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.466666666666667,1
408,AL KIFAF,25.233787,55.294217,2046777,1634,1252.62,2,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,8.466666666666667,1
409,AL WASL,25.20179,55.261734,3700000,2270,1629.96,3,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,45,8.72888888888889,0
410,NAKHLAT JUMEIRA,25.11309,55.140778000000005,2800000,2156,1298.7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
411,BURJ KHALIFA,25.197316,55.274196,2999900,1778,1687.23,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
412,MARSA DUBAI,25.075017000000003,55.137997,2650000,1786,1483.76,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
413,NAKHLAT JUMEIRA,25.131393,55.152727,3500000,1766,1981.88,2,3,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
415,MARSA DUBAI,25.076944,55.134135,2950000,1503,1962.74,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
416,MARSA DUBAI,25.072954,55.128089,1780000,1028,1731.52,1,2,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,100,8.448,0
417,NADD AL SHIBA FIRST,25.15899,55.294028,675000,826,817.19,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,8.754545454545454,0
419,BURJ KHALIFA,25.191404,55.27389599999999,1010000,860,1174.42,1,2,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,100,8.701,1
420,MARSA DUBAI,25.084102,55.13862099999999,5750000,2574,2233.88,3,5,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,100,8.448,0
422,BURJ KHALIFA,25.197316,55.274196,4649900,2663,1746.11,3,4,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,100,8.701,1
423,MARSA DUBAI,25.079966,55.139082,1250000,1210,1033.06,2,3,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,100,8.448,0
424,BURJ KHALIFA,25.191642,55.28019499999999,2049999,1039,1973.05,2,3,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,100,8.701,1
425,AL YALAYIS 2,25.015608,55.283132,888000,888,1000.0,2,2,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,8.25,0
426,BUSINESS BAY,25.188299,55.288975,16950000,4907,3454.25,3,3,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,43,8.518604651162791,1
427,BUSINESS BAY,25.188299,55.288975,30950000,7922,3906.84,4,4,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,43,8.518604651162791,1
428,MARSA DUBAI,25.099744,55.14145500000001,1225000,735,1666.67,1,2,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100,8.448,0
429,BURJ KHALIFA,25.194031,55.269318000000005,2577888,1352,1906.72,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
430,NAKHLAT JUMEIRA,25.111902,55.138103,1025888,720,1424.84,1,2,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,99,8.488888888888889,0
431,MARSA DUBAI,25.082217,55.142624,913548,529,1726.93,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,100,8.448,0
432,BURJ KHALIFA,25.191634,55.269309,2250000,1700,1323.53,2,3,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,100,8.701,1
434,AL HEBIAH THIRD,25.020958,55.254155,350000,527,664.14,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,8.1,0
435,AL KHEERAN FIRST,25.204135,55.344345,780000,707,1103.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.6,0
436,BURJ KHALIFA,25.196592000000003,55.284124,1650000,1049,1572.93,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
437,AL BARSHA SOUTH FOURTH,25.066791,55.203684,424340,385,1102.18,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,4,8.275,0
438,NAKHLAT JUMEIRA,25.125472,55.153066,1800000,1100,1636.36,1,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
439,NAKHLAT JUMEIRA,25.115747,55.142615,3175000,2281,1391.93,3,4,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,99,8.488888888888889,0
440,MARSA DUBAI,25.086726,55.145205,1500000,1525,983.61,2,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,100,8.448,0
441,NAKHLAT JUMEIRA,25.132519,55.151574,1850000,935,1978.61,1,2,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,99,8.488888888888889,0
442,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.107984,55.244923,990000,722,1371.19,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.200000000000001,0
443,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.11576,55.248755,750000,648,1157.41,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.200000000000001,0
444,BUSINESS BAY,25.181311,55.26250699999999,900000,1036,868.73,1,1,2,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,43,8.518604651162791,1
445,JUMEIRA FIRST,25.240419,55.25277,1700000,1164,1460.48,2,3,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,97,8.430927835051547,0
446,JUMEIRA FIRST,25.240419,55.25277,1271000,732,1736.34,1,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,97,8.430927835051547,0
447,AL YALAYIS 2,25.010196,55.291467,485000,603,804.31,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,8.25,0
448,NAKHLAT JUMEIRA,25.111822,55.140521,1125000,1300,865.38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
449,BURJ KHALIFA,25.202977,55.280662,1000000,681,1468.43,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.701,1
450,BUSINESS BAY,25.18543,55.281516,700000,563,1243.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8.518604651162791,1
451,BUSINESS BAY,25.185156,55.281116,725000,692,1047.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8.518604651162791,1
452,NAKHLAT JUMEIRA,25.10813,55.145552,1300000,1799,722.62,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
453,AL BARSHA FIRST,25.07001,55.245729,778000,730,1065.75,1,2,2,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,98,8.356122448979592,2
454,MARSA DUBAI,25.086575,55.147768000000006,2099999,1382,1519.54,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
455,NAKHLAT JUMEIRA,25.10355,55.168509,17910000,6246,2867.44,4,5,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,99,8.488888888888889,0
456,NAKHLAT JUMEIRA,25.10355,55.168509,15460000,4331,3569.61,3,4,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
457,JABAL ALI FIRST,25.022618,55.14935,700000,1000,700.0,2,3,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,49,7.887755102040816,2
458,AL THANYAH FIFTH,25.065355,55.139480000000006,450000,500,900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,8.21764705882353,2
459,BURJ KHALIFA,25.196593,55.269631,1275000,1282,994.54,2,3,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,100,8.701,1
460,NAKHLAT JUMEIRA,25.10355,55.168509,15490000,3944,3927.48,3,4,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,99,8.488888888888889,0
461,NAKHLAT JUMEIRA,25.10355,55.168509,15830000,3554,4454.14,3,4,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,99,8.488888888888889,0
462,NAKHLAT JUMEIRA,25.10355,55.168509,15910000,3492,4556.13,4,5,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,99,8.488888888888889,0
463,NAKHLAT JUMEIRA,25.10355,55.168509,21990000,6252,3517.27,4,5,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
464,NAKHLAT JUMEIRA,25.10355,55.168509,21870000,5188,4215.5,4,5,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
465,NAKHLAT JUMEIRA,25.10355,55.168509,22640000,5505,4112.62,4,5,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
466,WADI AL SAFA 3,25.171461,55.2758,1246305,780,1597.83,1,2,2,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,3,8.766666666666666,0
467,WADI AL SAFA 3,25.171461,55.2758,2085804,1109,1880.8,2,3,2,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,3,8.766666666666666,0
468,WADI AL SAFA 3,25.171461,55.2758,1246305,780,1597.83,1,2,2,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,8.766666666666666,0
469,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.109367,55.247980000000005,1400000,1358,1030.93,2,2,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,8.200000000000001,0
470,NAKHLAT JUMEIRA,25.132021,55.151405,2850000,1350,2111.11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
471,NAKHLAT JUMEIRA,25.11241,55.14165799999999,1100000,1144,961.54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
472,NAKHLAT JUMEIRA,25.113366,55.13609,3800000,4053,937.58,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
473,BUSINESS BAY,25.189282,55.28915799999999,1100000,952,1155.46,1,2,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,43,8.518604651162791,1
474,AL THANYAH THIRD,25.091283,55.174064,650000,767,847.46,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,28,7.825,1
475,NAKHLAT JUMEIRA,25.10355,55.168509,17130000,4595,3727.97,3,4,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,99,8.488888888888889,0
476,NAKHLAT JUMEIRA,25.10355,55.168509,22260000,4923,4521.63,4,5,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,99,8.488888888888889,0
477,BUSINESS BAY,25.17667,55.272389,490000,563,870.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8.518604651162791,1
478,HADAEQ SHEIKH MOHAMMED BIN RASHID,25.107984,55.244923,2800000,1993,1404.92,3,4,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,8.200000000000001,0
479,AL BARSHA SOUTH FOURTH,25.047032,55.206605,450000,1105,407.24,1,2,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,4,8.275,0
480,AL YALAYIS 2,25.005442,55.293914,1400000,1450,965.52,3,3,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,8.25,0
481,AL THANYAH FIFTH,25.065886,55.138246,1700000,1992,853.41,2,2,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,51,8.21764705882353,2
482,NAKHLAT JUMEIRA,25.111229,55.136449,3000000,2279,1316.37,3,4,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,99,8.488888888888889,0
483,AL YALAYIS 2,25.005559,55.294912,1125888,1850,608.59,3,4,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,8.25,0
484,MARSA DUBAI,25.082397,55.14066,1150000,1396,823.78,2,3,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8.448,0
